sync,rand,p,st,mutent
0,1,0.00,4,0.9666407986433598
0,1,0.00,5,0.9669426495941118
0,1,0.00,6,0.9667682935584148
0,1,0.00,7,0.9672698437479239
0,1,0.00,8,0.9673877879058167
0,1,0.10,4,0.9664586041348142
0,1,0.10,5,0.9742140297292898
0,1,0.10,6,0.9741499344431465
0,1,0.10,7,0.9740570615200191
0,1,0.10,8,0.9745437871291378
0,1,0.20,4,0.9682292963133874
0,1,0.20,5,0.9782910919750946
0,1,0.20,6,0.9803561776132539
0,1,0.20,7,0.9790071621054847
0,1,0.20,8,0.9793681541009996
0,1,0.30,4,0.9685750301515361
0,1,0.30,5,0.9810721023633748
0,1,0.30,6,0.9818722896947576
0,1,0.30,7,0.9805061514942709
0,1,0.30,8,0.9816057957928799
0,1,0.40,4,0.9668307630069185
0,1,0.40,5,0.9825295760096848
0,1,0.40,6,0.9799084598932818
0,1,0.40,7,0.976795120467814
0,1,0.40,8,0.9780074966186496
0,1,0.50,4,0.9666560162796624
0,1,0.50,5,0.9667023728447703
0,1,0.50,6,0.977327279820079
0,1,0.50,7,0.9672217536566419
0,1,0.50,8,0.9649640298894099
0,1,0.60,4,0.966792987476522
0,1,0.60,5,0.9906427591794433
0,1,0.60,6,0.9724868588544241
0,1,0.60,7,0.9490507460841302
0,1,0.60,8,0.9335249644292377
0,1,0.70,4,0.9661278522424539
0,1,0.70,5,0.9911870174963714
0,1,0.70,6,0.9720196569011157
0,1,0.70,7,0.9217137817708126
0,1,0.70,8,0.8797534176348643
0,1,0.80,4,0.9658610281117379
0,1,0.80,5,0.9908296786315332
0,1,0.80,6,0.9893865670485191
0,1,0.80,7,0.8870086410378889
0,1,0.80,8,0.799060892235353
0,1,0.90,4,0.9685905337529828
0,1,0.90,5,0.9882231951397421
0,1,0.90,6,0.9902849030307795
0,1,0.90,7,0.8464977740743791
0,1,0.90,8,0.7107515692541104
0,1,1.00,4,0.9677647247143071
0,1,1.00,5,0.9798872842271257
0,1,1.00,6,0.9496281304339765
0,1,1.00,7,0.8090312350115244
0,1,1.00,8,0.6241876806212314
1,1,0.00,4,0.2871921295301627
1,1,0.00,5,0.2836205917389385
1,1,0.00,6,0.30221140410626957
1,1,0.00,7,0.3128991738318614
1,1,0.00,8,0.27769531502601635
1,1,0.10,4,0.31128320617977356
1,1,0.10,5,0.6117437908657797
1,1,0.10,6,0.7372216157200552
1,1,0.10,7,0.7966755482909549
1,1,0.10,8,0.8061641674889887
1,1,0.20,4,0.3172981217680145
1,1,0.20,5,0.798688634910939
1,1,0.20,6,0.8986325671660897
1,1,0.20,7,0.9312774193186252
1,1,0.20,8,0.932609675128055
1,1,0.30,4,0.3263463558232194
1,1,0.30,5,0.8710747040464667
1,1,0.30,6,0.9415844681211364
1,1,0.30,7,0.9658530469884924
1,1,0.30,8,0.9755022429096507
1,1,0.40,4,0.31541875068838604
1,1,0.40,5,0.9036602278459681
1,1,0.40,6,0.9589541241395747
1,1,0.40,7,0.9804205269809442
1,1,0.40,8,0.9837790795833202
1,1,0.50,4,0.3085854594805969
1,1,0.50,5,0.9231452030961175
1,1,0.50,6,0.9668978562017932
1,1,0.50,7,0.9794847818062175
1,1,0.50,8,0.9735869193524979
1,1,0.60,4,0.3303390754100243
1,1,0.60,5,0.9291253867459379
1,1,0.60,6,0.9654814308323332
1,1,0.60,7,0.9673979921991147
1,1,0.60,8,0.9419135047679407
1,1,0.70,4,0.3150113740499093
1,1,0.70,5,0.937628976203151
1,1,0.70,6,0.9596193194049943
1,1,0.70,7,0.9489522137892493
1,1,0.70,8,0.8929451843703948
1,1,0.80,4,0.3117515998829932
1,1,0.80,5,0.9390605963907176
1,1,0.80,6,0.9475494188500093
1,1,0.80,7,0.9241426902710831
1,1,0.80,8,0.8427432231846778
1,1,0.90,4,0.28212113780692777
1,1,0.90,5,0.9353648885028505
1,1,0.90,6,0.9266647723246176
1,1,0.90,7,0.8910665441532928
1,1,0.90,8,0.793266594781726
1,1,1.00,4,0.3032793807178133
1,1,1.00,5,0.9309668087529441
1,1,1.00,6,0.8951168067182748
1,1,1.00,7,0.8269749963234463
1,1,1.00,8,0.7273174308674993
