world_size,init_life,rand,sync,deterministic_period,p,second_threshold,living
64,50,true,true,2,0.00,9, 7.5928
64,50,true,true,2,0.00,9, 6.8115
64,50,true,true,2,0.00,9, 7.6904
64,50,true,true,2,0.00,9, 4.9561
64,50,true,true,2,0.00,9,10.6201
64,50,true,true,2,0.00,9,10.0586
64,50,true,true,2,0.00,9, 5.7129
64,50,true,true,2,0.00,9, 9.1309
64,50,true,true,2,0.00,9, 9.2041
64,50,true,true,2,0.00,9, 6.4697
64,50,true,true,2,0.00,9, 7.7393
64,50,true,true,2,0.00,9, 7.3730
64,50,true,true,2,0.00,9, 8.8135
64,50,true,true,2,0.00,9, 9.0332
64,50,true,true,2,0.00,9, 7.7881
64,50,true,true,2,0.00,9, 9.1064
64,50,true,true,2,0.00,9, 7.3730
64,50,true,true,2,0.00,9, 3.8330
64,50,true,true,2,0.00,9, 4.1992
64,50,true,true,2,0.00,9, 6.9092
64,50,true,true,2,0.00,9, 7.1289
64,50,true,true,2,0.00,9, 5.5664
64,50,true,true,2,0.00,9, 6.4453
64,50,true,true,2,0.00,9, 4.6387
64,50,true,true,2,0.00,9,11.5234
64,50,true,true,2,0.00,9, 4.3945
64,50,true,true,2,0.00,9, 5.6396
64,50,true,true,2,0.00,9, 8.7158
64,50,true,true,2,0.00,9, 8.1543
64,50,true,true,2,0.00,9, 5.2734
64,50,true,true,2,0.00,9, 6.0547
64,50,true,true,2,0.00,9, 8.0566
64,50,true,true,2,0.00,9, 5.2246
64,50,true,true,2,0.00,9, 7.7148
64,50,true,true,2,0.00,9, 5.8838
64,50,true,true,2,0.00,9, 6.7383
64,50,true,true,2,0.00,9, 6.1523
64,50,true,true,2,0.00,9, 6.5674
64,50,true,true,2,0.00,9, 7.9834
64,50,true,true,2,0.00,9, 7.8369
64,50,true,true,2,0.00,9, 5.9814
64,50,true,true,2,0.00,9, 3.1494
64,50,true,true,2,0.00,9, 4.8340
64,50,true,true,2,0.00,9, 6.4941
64,50,true,true,2,0.00,9, 8.3740
64,50,true,true,2,0.00,9, 9.3262
64,50,true,true,2,0.00,9, 8.0322
64,50,true,true,2,0.00,9, 8.1787
64,50,true,true,2,0.00,9, 4.7363
64,50,true,true,2,0.00,9, 5.2734
64,50,true,true,2,0.00,9, 5.9082
64,50,true,true,2,0.00,9, 8.5205
64,50,true,true,2,0.00,9, 2.7344
64,50,true,true,2,0.00,9,10.9131
64,50,true,true,2,0.00,9, 5.9326
64,50,true,true,2,0.00,9, 3.9307
64,50,true,true,2,0.00,9, 8.5449
64,50,true,true,2,0.00,9, 4.1504
64,50,true,true,2,0.00,9, 4.3945
64,50,true,true,2,0.00,9, 8.3252
64,50,true,true,2,0.00,9, 4.6875
64,50,true,true,2,0.00,9, 6.0303
64,50,true,true,2,0.00,9, 4.9561
64,50,true,true,2,0.00,9, 8.2520
64,50,true,true,2,0.00,9, 5.8350
64,50,true,true,2,0.00,9, 8.3008
64,50,true,true,2,0.00,9, 5.9814
64,50,true,true,2,0.00,9, 5.0049
64,50,true,true,2,0.00,9, 6.5186
64,50,true,true,2,0.00,9, 6.0791
64,50,true,true,2,0.00,9, 5.0537
64,50,true,true,2,0.00,9, 5.5908
64,50,true,true,2,0.00,9, 4.3945
64,50,true,true,2,0.00,9, 2.5635
64,50,true,true,2,0.00,9, 4.8828
64,50,true,true,2,0.00,9, 7.2998
64,50,true,true,2,0.00,9,10.3760
64,50,true,true,2,0.00,9, 6.4453
64,50,true,true,2,0.00,9, 7.4707
64,50,true,true,2,0.00,9, 8.5938
64,50,true,true,2,0.00,9, 4.3457
64,50,true,true,2,0.00,9, 7.2754
64,50,true,true,2,0.00,9, 7.4707
64,50,true,true,2,0.00,9, 7.1533
64,50,true,true,2,0.00,9, 6.9580
64,50,true,true,2,0.00,9, 5.5664
64,50,true,true,2,0.00,9,10.0342
64,50,true,true,2,0.00,9, 7.3730
64,50,true,true,2,0.00,9, 4.7363
64,50,true,true,2,0.00,9, 6.1523
64,50,true,true,2,0.00,9, 7.2754
64,50,true,true,2,0.00,9, 7.0801
64,50,true,true,2,0.00,9,11.3525
64,50,true,true,2,0.00,9, 5.8594
64,50,true,true,2,0.00,9, 7.2510
64,50,true,true,2,0.00,9, 7.9834
64,50,true,true,2,0.00,9, 5.3955
64,50,true,true,2,0.00,9, 5.2490
64,50,true,true,2,0.00,9, 7.9590
64,50,true,true,2,0.00,9,11.2061
64,50,true,true,2,0.00,9, 9.8633
64,50,true,true,2,0.00,9, 8.9111
64,50,true,true,2,0.00,9, 4.1260
64,50,true,true,2,0.00,9, 5.9814
64,50,true,true,2,0.00,9, 6.6162
64,50,true,true,2,0.00,9, 5.7617
64,50,true,true,2,0.00,9, 7.9834
64,50,true,true,2,0.00,9, 4.4434
